;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e
Source;Lien;Niveau;Niv 1;Niv 1 id;Niv 2;Niv 2 id;Niv 3;Niv 3 id;Niv 4;Niv 4 id;Niv 5;Niv 5 id;Niv 6;Niv 6 id;Niv 7;Niv 7 id;Niv 8;Niv 8 id;Niv 9;Niv 9 id;Niv 10;Niv 10 id;Niv 11;Niv 11 id;;Niv 1 geo;Niv 1 geo id;Niv 2 geo;Niv 2 geo id;Niv 3 geo;Niv 3 geo id;Niv 4 geo;Niv 4 geo id;Niv 5 geo;Niv 5 geo id;Niv 6 geo;Niv 6 geo id;Niv 7 geo;Niv 7 geo id;Niv 8 geo;Niv 8 geo id;Niv 9 geo;Niv 9 geo id;Niv 10 geo;Niv 10 geo id;Niv 11 geo;Niv 11 geo id;Niv 12 geo;Niv 12 geo id;Niv 13 geo;Niv 13 geo id;ata / ventil;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022 (e)
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Traitement centralisé des déchets;V0.2.3;Autres traitements des déchets solides;V0.2.3.3;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,139233428;0,143028359;0,146911902;0,150886301;0,171003899;0,191312798;0,214683861;0,220894157;0,250191146;0,338557243;0,3767627;0,39543518;0,414307304;0,446075085;0,478424805;0,505349794;0,530897915;0,54395607;0,556484054;0,578050779;0,596794801;0,718279972;0,839889713;0,877346337;0,914941392;0,93193052;0,948844907;0,984362047;1,019903525;0,971648999;0,924160125;0,996241902;0,996241902
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Traitement centralisé des déchets;V0.2.3;Traitement des eaux usées;V0.2.3.4;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,427645185;0,441261593;0,438580928;0,441061306;0,44315192;0,45180795;0,447406068;0,440595913;0,43272305;0,423389572;0,426665169;0,41255484;0,40068553;0,38515093;0,369106854;0,355598961;0,352110679;0,319107118;0,32317491;0,331562793;0,343866245;0,341399388;0,338601742;0,32563389;0,333443466;0,341517976;0,329594692;0,336733976;0,346087773;0,336615812;0,333823205;0,334319518;0,334319518
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Usage des bâtiments et activités résidentiels/tertiaires;V0.2.4;sous-total Usage des bâtiments résidentiels et activités domestiques;V0.2.4.1;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;61,85468109;69,59362898;68,48758285;66,62383184;62,76675324;62,65598139;69,42164791;65,48329351;67,95378227;68,8075564;66,80608561;70,77986197;67,98644114;69,49185361;73,39028925;72,56150064;69,77284255;62,19797228;67,34241158;67,01425514;65,20307054;57,1735563;61,67093013;62,90950298;50,24940918;52,41622808;53,74449219;52,61582055;48,91451977;47,23145086;44,89685985;47,32233735;40,13923914
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Usage des bâtiments et activités résidentiels/tertiaires;V0.2.4;sous-total Usage des bâtiments tertiaires et activités tertiaires;V0.2.4.2;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;31,40600813;33,33856926;30,63264779;28,89001793;26,29232447;26,2929004;29,48542926;28,56528476;30,83121451;31,79995512;30,21883772;32,01290389;30,48856747;34,59874886;35,49672858;35,2633204;33,50893028;33,7180508;35,70724795;38,13588555;38,7854513;32,14943449;33,99366336;35,1248632;31,59924581;32,42980939;31,03318823;31,44699898;30,13264241;28,80679195;26,42060503;27,76780359;23,88569606
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Usage des bâtiments et activités résidentiels/tertiaires;V0.2.4;sous-total Usage des bâtiments résidentiels et activités domestiques;V0.2.4.1;Chauffage, eau chaude sanitaire et cuisson domestique;V0.2.4.1.1;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;59,19620968;66,84766025;65,65732496;63,7178457;59,73383111;59,31920267;65,62448412;61,42856358;63,73052476;64,63148611;62,43779328;66,41130237;63,64073968;65,00622629;68,75394751;67,8161228;64,89755018;57,14571968;62,2612415;62,25288541;60,24376158;52,14619069;56,70332255;57,92956446;45,0852343;47,18466918;48,40637638;47,2443536;43,68635935;42,24988196;39,94603076;42,34835465;35,23954641
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Usage des bâtiments et activités résidentiels/tertiaires;V0.2.4;sous-total Usage des bâtiments résidentiels et activités domestiques;V0.2.4.1;Climatisation domestique;V0.2.4.1.2;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0,000579985;0,002260506;0,005211366;0,044627609;0,108001488;0,155583412;0,222795228;0,290923419;0,356268792;0,422068359;0,47234351;0,530546559;0,587477665;0,675423889;0,780076975;0,867435782;0,951053326;1,019608995;1,093891836;1,125111585;1,115643111;1,097200687;1,00933999
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Usage des bâtiments et activités résidentiels/tertiaires;V0.2.4;sous-total Usage des bâtiments résidentiels et activités domestiques;V0.2.4.1;Réfrigération domestique;V0.2.4.1.3;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;2,24E-05;6,31E-05;9,88E-05;0,000134754;0,000168892;0,000200917;0,000231447;0,000258492;0,00028104;0,000303467;0,020415381;0,053876457;0,072765723;0,075639766;0,091332554;0,104565074;0,150683282;0,14071043;0,157912223;0,15225712;0,15982897;0,137829461;0,139881716;0,092717188;0,091433251;0,084854055;0,073513455;0,06727469;0,06085703
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Usage des bâtiments et activités résidentiels/tertiaires;V0.2.4;sous-total Usage des bâtiments résidentiels et activités domestiques;V0.2.4.1;Utilisation de produits domestiques (y.c. peintures, aérosols);V0.2.4.1.4;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,600586448;0,601982132;0,606154961;0,600278101;0,646123085;0,863501908;1,243765016;1,419568513;1,503835248;1,446577761;1,627288075;1,614241598;1,62248055;1,755847407;1,860250722;1,873304922;1,908162771;2,006851297;1,943190513;1,513423039;1,59889949;1,611448986;1,468272554;1,388026937;1,440333353;1,451685773;1,474753651;1,490460953;1,239593707;0,931629678;0,90931614;0,909375869;0,901083831
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Usage des bâtiments et activités résidentiels/tertiaires;V0.2.4;sous-total Usage des bâtiments résidentiels et activités domestiques;V0.2.4.1;Engins (y.c. jardinage) domestiques;V0.2.4.1.5;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,305302622;0,304769088;0,304337098;0,303710047;0,303303795;0,303034875;0,302398584;0,30171079;0,301392228;0,301242306;0,300767193;0,299787854;0,299742443;0,299869094;0,299745455;0,298650007;0,297337364;0,293572192;0,287731584;0,288156165;0,287713678;0,286944267;0,285745719;0,285621373;0,284807651;0,284302247;0,283220521;0,281521988;0,280550133;0,280898416;0,280069504;0,278684987;0,306965411
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Usage des bâtiments et activités résidentiels/tertiaires;V0.2.4;sous-total Usage des bâtiments résidentiels et activités domestiques;V0.2.4.1;Déchets et brûlage domestiques et eaux usées;V0.2.4.1.6;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;1,75258234;1,839217511;1,919765833;2,001997997;2,083472895;2,17017885;2,2509014;2,333315877;2,417861144;2,428049311;2,439425632;2,452011146;2,417986062;2,384979743;2,347928689;2,363963041;2,374231284;2,385265925;2,402646633;2,433157088;2,449668999;2,45771537;2,468199417;2,4786092;2,49912793;2,490305635;2,489206594;2,487157826;2,522691489;2,559075167;2,572286885;2,621446476;2,621446476
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Usage des bâtiments et activités résidentiels/tertiaires;V0.2.4;sous-total Usage des bâtiments résidentiels et activités domestiques;V0.2.4.1;Autres activités domestiques (tabac et feux d’artifices);V0.2.4.1.7;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Usage des bâtiments et activités résidentiels/tertiaires;V0.2.4;sous-total Usage des bâtiments tertiaires et activités tertiaires;V0.2.4.2;Chauffage, eau chaude sanitaire et cuisson tertiaire;V0.2.4.2.1;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;26,72531467;29,0184723;27,62994351;26,33924186;24,85939643;25,10131756;27,52834195;25,85424786;27,24880454;27,83982769;25,81856969;26,89035553;24,20259858;27,46490035;27,78207723;27,2129981;24,72108588;24,46885868;25,91102421;28,21038529;28,51249301;21,2050513;23,39493644;24,65188357;21,37525365;22,49102405;22,08133466;22,88597598;22,17396519;21,68756419;20,14927636;21,50921526;18,09743089
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Usage des bâtiments et activités résidentiels/tertiaires;V0.2.4;sous-total Usage des bâtiments tertiaires et activités tertiaires;V0.2.4.2;Climatisation tertiaire;V0.2.4.2.2;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0,000200432;0,001058875;0,002982442;0,005275196;0,008846639;0,013507939;0,022627503;0,03593857;0,06007638;0,095614986;0,14510912;0,205406065;0,30033175;0,387883258;0,510297717;0,651607282;0,763833729;0,870416084;0,952968093;1,012295889;1,068349596;1,122118975;1,18523496;1,246417741;1,326698618;1,389046104;1,411721734;1,399167982;1,354479033;1,296612168;0,824827538
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Usage des bâtiments et activités résidentiels/tertiaires;V0.2.4;sous-total Usage des bâtiments tertiaires et activités tertiaires;V0.2.4.2;Réfrigération tertiaire;V0.2.4.2.3;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0,01590868;0,04639068;0,124896191;0,226180611;0,394091223;0,624762564;1,026734884;1,512223672;2,078766566;2,631314191;3,176773156;3,720004164;4,213969052;4,802332494;5,252003599;5,663518222;5,992420717;6,231734002;6,416810537;6,459033579;6,369846793;6,171771918;5,905019484;5,540819117;5,104622415;4,587682337;3,816419419;3,128125691;2,511601092;2,163673015
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Usage des bâtiments et activités résidentiels/tertiaires;V0.2.4;sous-total Usage des bâtiments tertiaires et activités tertiaires;V0.2.4.2;Utilisation de produits tertiaires (y.c. solvants, peintures, aérosols, anesthésie);V0.2.4.2.4;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,167637904;0,164124784;0,162520711;0,160057941;0,283429474;0,448595201;0,718716614;0,855041908;0,854010174;0,867832175;0,843465784;0,82406937;0,814004439;0,845592638;0,788594907;0,79403101;0,798595038;0,799349793;0,807168907;0,780809174;0,806270672;0,839458191;0,765224157;0,726623648;0,72803303;0,730846443;0,722492307;0,729051359;0,526512555;0,280357329;0,299139594;0,300869152;0,281409196
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Usage des bâtiments et activités résidentiels/tertiaires;V0.2.4;sous-total Usage des bâtiments tertiaires et activités tertiaires;V0.2.4.2;Autres activités tertiaires (y.c. feux d’artifices, activités militaires, crémation);V0.2.4.2.5;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;4,513055563;4,155972175;2,839983131;2,373750575;1,100125436;0,612816248;1,003343442;1,448395832;2,081009734;2,0296218;1,984502201;2,124097437;2,695541139;2,906076657;2,90572053;2,654438982;2,676619147;2,546231441;2,561702882;2,281854276;2,281985524;2,675818577;2,306119588;2,254390211;2,138952248;2,056501667;1,361843532;1,338303129;1,432760594;1,623283034;1,489584352;2,149505914;2,51835542
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Agriculture / sylviculture;V0.2.5;sous-total Elevage;V0.2.5.1;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;53,38399834;52,53466182;51,87379535;51,53608118;51,78947354;52,08049971;52,1519737;51,72328596;51,5739128;51,64139403;53,49982283;53,57994758;52,5183522;51,0730375;50,4151054;50,23735259;50,31272447;50,67153837;51,29599151;50,72339394;50,43798204;49,70631472;49,12381458;49,10724249;49,66910433;49,8034625;49,52670679;48,94500213;48,24473087;47,42020581;46,6872536;45,57126357;45,51428411
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Agriculture / sylviculture;V0.2.5;sous-total  Culture;V0.2.5.2;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;24,32950696;24,27748513;24,3117408;23,39747008;22,43249035;22,72185548;23,23452611;23,788058;23,91994803;24,21817648;24,59988626;24,18461964;23,86054404;22,26808495;23,44544649;23,1725948;22,58732843;22,70516429;23,49732086;23,00512729;21,59900515;22,16620101;22,56583232;21,83636606;22,83194852;22,41850837;22,0033703;22,61651632;22,35043738;21,49449206;20,75021238;20,6955727;20,6955727
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Agriculture / sylviculture;V0.2.5;sous-total  Engins, moteurs et chaudières;V0.2.5.3;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;10,58367116;10,57870786;10,88166659;10,98290323;10,81254773;10,90664376;11,21881187;11,15520123;11,3968036;11,43424435;11,5652381;11,62415626;11,25085687;11,09314893;11,75505657;11,45343157;11,15716965;10,99701679;11,37384426;11,44449383;11,0581211;10,90710154;10,32282057;11,0194019;10,99367259;10,88860925;10,16073139;9,752854136;9,84289562;9,701229404;10,80694448;10,23971143;10,31505774
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Agriculture / sylviculture;V0.2.5;sous-total Elevage;V0.2.5.1;Bovins;V0.2.5.1.1;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;44,28195397;43,54441545;42,87828137;42,4896247;42,65068145;42,90021385;42,86389343;42,39620126;42,16702169;42,22223896;44,05156292;44,1400644;43,06523656;41,69543081;41,13942244;41,02859035;41,21063876;41,65910348;42,40348101;41,89978805;41,65626333;41,10641953;40,72797184;40,86070113;41,4636981;41,65832964;41,4108357;40,91842014;40,16514233;39,41363717;38,71379503;37,70552936;37,6391513
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Agriculture / sylviculture;V0.2.5;sous-total Elevage;V0.2.5.1;Porcins;V0.2.5.1.2;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;2,45037691;2,458717547;2,590090245;2,683667803;2,76331672;2,779471446;2,88792015;2,974204761;3,088888026;3,155967286;3,173239639;3,231340666;3,280963188;3,269480708;3,241385678;3,199873843;3,191126017;3,209959074;3,202001351;3,143195782;3,07787035;3,042062466;2,969384076;2,922891501;2,904519159;2,916670353;2,947792605;2,908132869;2,920912129;2,897652125;2,858776512;2,800813408;2,800813408
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Agriculture / sylviculture;V0.2.5;sous-total Elevage;V0.2.5.1;Volailles;V0.2.5.1.3;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,224204014;0,23119164;0,237324281;0,243927231;0,24968541;0,255209454;0,259553417;0,265720485;0,273497713;0,265558194;0,258168992;0,262887125;0,259960372;0,25147561;0,240603553;0,233742527;0,230661595;0,232189055;0,232442948;0,232549758;0,235330551;0,234194681;0,238996377;0,241418643;0,246273097;0,249615833;0,245458848;0,245941608;0,240607026;0,235910511;0,234807817;0,232520096;0,232520096
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Agriculture / sylviculture;V0.2.5;sous-total Elevage;V0.2.5.1;Autres émissions de l'élevage;V0.2.5.1.4;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;6,427463446;6,300337187;6,168099455;6,118861445;6,12578996;6,145604958;6,1406067;6,087159456;6,044505378;5,997629588;6,016851281;5,945655389;5,91219208;5,85665037;5,793693736;5,77514587;5,680298103;5,570286761;5,4580662;5,447860345;5,46851781;5,323638038;5,187462285;5,082231223;5,054613973;4,978846674;4,922619632;4,872507509;4,918069387;4,873006001;4,879874239;4,832400709;4,841799303
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Agriculture / sylviculture;V0.2.5;sous-total  Culture;V0.2.5.2;Engrais et amendements minéraux;V0.2.5.2.1;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;13,47165559;13,2166091;12,88155904;12,2624945;11,49070105;11,95972591;12,34608101;12,70657912;12,63336373;12,7526158;12,90594228;12,82499947;12,46437991;12,10996601;12,16184298;12,39160128;11,81270786;11,43201044;12,06454568;11,96401892;11,05028908;11,73391232;11,63852683;11,11333131;11,54932697;11,6921196;11,74977645;11,85226437;12,03447836;11,35045065;10,95268323;10,57234371;10,57234371
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Agriculture / sylviculture;V0.2.5;sous-total  Culture;V0.2.5.2;Engrais et amendements organiques;V0.2.5.2.2;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;1,499687358;1,486387587;1,476507962;1,477407676;1,489901155;1,503043108;1,513292098;1,509468744;1,514232479;1,508244741;1,536841892;1,521117187;1,501738428;1,469879261;1,444628482;1,432421319;1,429333206;1,441863059;1,477278324;1,452628131;1,455456509;1,464341362;1,45945674;1,454789449;1,476225164;1,491976695;1,477964252;1,477811338;1,480634897;1,45898835;1,448166841;1,447493508;1,447493508
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Agriculture / sylviculture;V0.2.5;sous-total  Culture;V0.2.5.2;Pâture;V0.2.5.2.3;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;1,80268094;1,785114685;1,779498788;1,76951175;1,775230768;1,786984656;1,793833949;1,779213727;1,769588226;1,772430609;1,831148395;1,843073267;1,791605591;1,737708804;1,706084652;1,690718493;1,695008666;1,705238299;1,70093459;1,695449602;1,688037598;1,630228491;1,62011342;1,636382347;1,657881639;1,671296436;1,668683421;1,651012543;1,618431314;1,589154808;1,558121542;1,521795912;1,521795912
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Agriculture / sylviculture;V0.2.5;sous-total  Culture;V0.2.5.2;Brûlage de résidus agricoles;V0.2.5.2.4;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,096549209;0,09909187;0,099632668;0,095748539;0,097581061;0,095457402;0,101337698;0,100893088;0,105472181;0,103435941;0,103792044;0,089443524;0,090054574;0,07399456;0,076333866;0,066358043;0,064776681;0,061162324;0,064276447;0,063880773;0,059556732;0,056480126;0,054527249;0,047365788;0,045765223;0,043935218;0,035953037;0,039833968;0,036007675;0,038425867;0,03361066;0,03503382;0,03503382
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Agriculture / sylviculture;V0.2.5;sous-total  Culture;V0.2.5.2;Autres émissions des cultures;V0.2.5.2.5;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;7,458933862;7,690281886;8,074542336;7,792307615;7,579076322;7,376644407;7,479981352;7,69190332;7,89729142;8,081449384;8,22216165;7,905986191;8,012765543;6,876536312;8,056556507;7,591495665;7,585502021;8,064890175;8,19028582;7,829149859;7,34566523;7,281238707;7,793208087;7,584497161;8,102749515;7,519180425;7,07099314;7,595594101;7,18088513;7,057472392;6,757630109;7,118905754;7,118905754
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Agriculture / sylviculture;V0.2.5;sous-total  Engins, moteurs et chaudières;V0.2.5.3;Engins, moteurs et chaudières en agriculture;V0.2.5.3.1;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;10,13477599;10,12072974;10,41455261;10,51284955;10,33288479;10,42510585;10,72858968;10,65624823;10,8958665;10,92336017;11,04577041;11,10758474;10,73043237;10,56904051;11,20365535;10,9143445;10,62601231;10,47097429;10,82665357;10,88754128;10,52096085;10,37466838;9,828531999;10,48917414;10,45742483;10,35193065;9,6612968;9,271210883;9,360237562;9,230410618;10,27718142;9,743884937;9,815360568
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Agriculture / sylviculture;V0.2.5;sous-total  Engins, moteurs et chaudières;V0.2.5.3;Engins, moteurs et chaudières en sylviculture;V0.2.5.3.2;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;0,448895166;0,457978123;0,467113985;0,470053678;0,479662934;0,481537912;0,490222186;0,498952999;0,500937106;0,510884188;0,519467688;0,516571527;0,520424503;0,524108425;0,55140122;0,539087068;0,531157345;0,5260425;0,547190688;0,556952542;0,537160257;0,532433163;0,494288574;0,530227762;0,53624776;0,536678602;0,499434594;0,481643253;0,482658058;0,470818787;0,529763058;0,49582649;0,49969717
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;sous-total Transport routier;V0.2.6.1;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;115,9158132;118,3928932;122,9910665;123,1089491;123,9743187;125,3885527;126,5920903;129,1566881;131,3616903;133,6117082;133,2503048;136,6915967;137,7217996;137,8276258;138,3975623;136,3126636;136,5347433;135,5152579;129,184632;128,7339573;129,8242292;130,7717472;129,1692493;128,930046;128,8491443;130,2568282;130,4774451;130,315312;127,1902365;126,1750199;107,323086;120,4600127;122,3968551
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;sous-total Autres transports;V0.2.6.2;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;7,780647171;8,035950559;7,790501158;7,889824544;7,928299843;8,495231363;9,001002979;9,182790483;9,429353392;9,754185666;9,812768605;9,573601153;9,450607524;8,973581719;8,900675736;8,59275747;8,204612791;8,037637299;7,973528926;7,928209646;7,828568132;7,944728431;8,033116527;7,865050716;7,630638203;7,640083533;7,657139666;7,971813052;8,087179587;8,194999972;6,203054502;7,091376137;8,097554737
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;sous-total Transport routier;V0.2.6.1;VP;V0.2.6.1.1;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;67,74758763;68,35484628;71,11013396;71,13118693;71,03904001;72,38894754;72,97884987;73,60195789;74,9378383;75,9660131;75,99639161;78,63975705;79,31229735;79,86125501;79,46537725;77,9270007;77,91688646;77,56196553;74,44749188;75,11084202;75,14523469;74,78977739;74,29834082;73,96215663;74,49399173;74,85262912;75,56763978;74,32160075;72,18994099;72,07154342;59,18440045;66,42366822;68,25389012
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;sous-total Transport routier;V0.2.6.1;VUL;V0.2.6.1.2;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;18,49302216;19,36461397;19,92446652;20,20291674;20,45173662;20,30614397;20,6492571;21,3634459;21,64901567;21,73575238;21,0274824;21,45766704;21,50986591;21,51481852;21,17297546;20,82385141;20,85615968;20,44329909;19,1904692;19,38375237;19,95623433;20,33394139;20,17905671;20,33899304;20,0265471;20,59951384;20,18506985;20,49994537;20,03931979;19,85104261;17,19472876;19,63119745;19,7756402
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;sous-total Transport routier;V0.2.6.1;PL de marchandises;V0.2.6.1.3;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;26,9008496;27,7164603;28,91773538;28,45919779;29,28624903;29,62735704;29,84282118;30,88012339;31,28869516;32,48714221;32,67680815;32,99761971;33,23723289;32,75969672;33,97721759;33,71917534;33,89690326;33,59269938;31,56423973;30,20045898;30,66305237;31,46291183;30,50009346;30,37855279;30,06975949;30,51882344;30,41918976;31,22238107;30,70494721;29,98925973;27,48243898;30,57867311;30,27434182
