;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e;Mt CO2e
Source;Lien;Niveau;Niv 1;Niv 1 id;Niv 2;Niv 2 id;Niv 3;Niv 3 id;Niv 4;Niv 4 id;Niv 5;Niv 5 id;Niv 6;Niv 6 id;Niv 7;Niv 7 id;Niv 8;Niv 8 id;Niv 9;Niv 9 id;Niv 10;Niv 10 id;Niv 11;Niv 11 id;;Niv 1 geo;Niv 1 geo id;Niv 2 geo;Niv 2 geo id;Niv 3 geo;Niv 3 geo id;Niv 4 geo;Niv 4 geo id;Niv 5 geo;Niv 5 geo id;Niv 6 geo;Niv 6 geo id;Niv 7 geo;Niv 7 geo id;Niv 8 geo;Niv 8 geo id;Niv 9 geo;Niv 9 geo id;Niv 10 geo;Niv 10 geo id;Niv 11 geo;Niv 11 geo id;Niv 12 geo;Niv 12 geo id;Niv 13 geo;Niv 13 geo id;ata / ventil;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022 (e)
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie de l'énergie;V0.2.1;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;78,9;80,1;81,4;69,1;66;68,5;72,1;67,7;80,1;73,1;71,7;64,8;67,3;70,7;69,3;74,4;70,2;69,8;68,9;66,8;67;61,2;62,9;60,8;47,2;50;53,5;57,3;48;46,2;41,3;42,5;44,6
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Industrie manufacturière et construction;V0.2.2;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;139,4;151,9;139,9;134,7;135,6;136,2;138,3;137,1;131,2;128,1;124,9;128,1;124,1;122,7;117,4;118,1;117,1;115,9;108,8;89,6;95,5;91;87,5;88,7;86;83,7;83,2;82,9;82,8;79,8;72;78;73
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Traitement centralisé des déchets;V0.2.3;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;15,8;16,5;17,3;18;18,4;18,7;18,7;18,7;19,1;19,4;19,8;20,1;20,4;20,5;20,4;20,3;20,3;20,2;20,2;19,5;19,6;18,7;18,3;16,7;16;15;15;15,1;14,8;16;15,9;15,2;15,2
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Usage des bâtiments et activités résidentiels/tertiaires;V0.2.4;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;93,3;102,9;99,1;96;89;89;99;94;99;101;97;103;98;104;109;108;103;96;103;105;104;89;96;98;82;85;85;84;79;76;71;75;64
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Agriculture / sylviculture;V0.2.5;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;88,3;87,4;87,1;85,9;85;85,7;86,6;86,7;86,9;87,3;89,7;89,4;87,6;84,4;85,6;84,9;84,1;84,4;86,2;85,2;83,1;82,8;82;82;83,5;83,1;81,7;81,3;80,4;78,6;78,2;76,5;76,5
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Transports;V0.2.6;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;123,7;126,4;130,8;131;131,9;133,9;135,6;138,3;140,8;143,4;143,1;146,3;147,2;146,8;147,3;144,9;144,7;143,6;137,2;136,7;137,7;138,7;137,2;136,8;136,5;137,9;138,1;138,3;135,3;134,4;113,5;127,6;130,5
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;UTCATF;V0.2.7;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;-17,1;-17,2;-15;-19;-17,1;-20,2;-27,5;-29,2;-31,7;-36,3;-20,1;-33,7;-43,6;-48,3;-50,3;-50,7;-50,8;-48,6;-47,9;-37,8;-40,7;-42,5;-46,9;-45,5;-41,1;-37;-30,2;-20,6;-19,7;-18,2;-21,6;-17,1;-16,9
CITEPA;https://www.citepa.org/fr/secten/;;Emissions GES;V0;par secteur;V0.2;Hors total;V0.2.8;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;20,2;20,1;21,4;21,4;21;21,3;22,3;23,5;25,2;26,7;27,6;26,3;26,8;26,8;28,9;28,4;29,8;30,7;29,7;28,4;28,2;29,5;28,6;27,8;27;27,2;26,7;27,3;28,6;28,8;15,4;15,9;19,2
;;;;;;;;;;;;;;;;;;;;;;;;;;France;G0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
